run_id,provider,level,file_type,file_size,repetition,is_warmup,input_bytes,output_bytes,compression_ratio,wall_time_s,energy_joules,energy_per_mb,rapl_overflow
33,zstd,fast,text,large,1,True,524288030,110516839,0.2108,2.44284,17.4894,0.035,False
34,gzip,fast,csv,medium,1,True,104857653,26325008,0.2511,1.634204,10.1446,0.1014,False
35,gzip,default,csv,large,1,True,524288001,115321798,0.22,18.45953,150.4081,0.3008,False
36,zstd,fast,image,large,1,True,524305254,486657296,0.9282,2.269253,16.7821,0.0336,False
37,7zip,default,pdf,large,1,True,640849579,451987513,0.7053,30.735014,481.1995,0.7874,False
38,gzip,fast,csv,small,1,True,10485765,2678881,0.2555,0.659729,1.4617,0.1462,False
39,zstd,default,pdf,small,1,True,12769358,10250835,0.8028,0.660934,1.2426,0.102,False
40,gzip,default,pdf,large,1,True,640849579,521279551,0.8134,23.439914,192.7378,0.3154,False
41,gzip,fast,image,large,1,True,524305254,377441426,0.7199,17.429769,142.2962,0.2846,False
42,gzip,fast,pdf,small,1,True,12769358,10513741,0.8234,0.884187,3.3075,0.2716,False
43,7zip,default,image,small,1,True,10487014,7047313,0.672,1.827325,12.5794,1.2578,False
44,7zip,fast,csv,medium,1,True,104857653,21544093,0.2055,1.233482,13.5377,0.1354,False
45,zstd,fast,csv,medium,1,True,104857653,21438455,0.2045,0.834925,3.2859,0.0329,False
46,7zip,default,pdf,medium,1,True,128005509,90608210,0.7078,10.443477,117.7454,0.9645,False
47,7zip,fast,image,small,1,True,10487014,7221096,0.6886,0.834193,4.5574,0.4557,False
48,zstd,default,csv,medium,1,True,104857653,22477640,0.2144,1.012196,5.3628,0.0536,False
49,gzip,default,image,small,1,True,10487014,9233395,0.8805,1.031698,4.5596,0.4559,False
50,gzip,fast,image,medium,1,True,104855286,77544599,0.7395,4.029899,29.4437,0.2944,False
51,7zip,default,csv,medium,1,True,104857653,16377621,0.1562,21.002944,198.9283,1.9893,False
52,gzip,default,csv,small,1,True,10485765,2408844,0.2297,0.881468,3.3267,0.3327,False
53,7zip,fast,pdf,small,1,True,12769358,10075469,0.789,0.839044,4.8371,0.3972,False
54,zstd,fast,text,small,1,True,10485805,2211221,0.2109,0.639877,1.0031,0.1003,False
55,zstd,fast,pdf,large,1,True,640849579,525249837,0.8196,2.902017,22.3207,0.0365,False
56,7zip,default,pdf,small,1,True,12769358,9364459,0.7334,1.827484,13.5726,1.1145,False
57,7zip,fast,pdf,large,1,True,640849579,499474728,0.7794,11.447887,206.2629,0.3375,False
58,gzip,fast,pdf,large,1,True,640849579,523533287,0.8169,18.854413,154.5563,0.2529,False
59,7zip,default,text,medium,1,True,104857627,14248280,0.1359,24.447749,233.2253,2.3323,False
60,zstd,fast,image,medium,1,True,104855286,97381960,0.9287,1.075113,3.8916,0.0389,False
61,zstd,fast,image,small,1,True,10487014,9750364,0.9298,0.670964,0.907,0.0907,False
62,gzip,default,text,medium,1,True,104857627,19352518,0.1846,4.042888,29.5174,0.2952,False
63,7zip,default,image,medium,1,True,104855286,55792680,0.5321,9.65861,103.1148,1.0312,False
64,zstd,default,text,medium,1,True,104857627,21909457,0.2089,1.071486,5.3456,0.0535,False
65,gzip,default,text,large,1,True,524288030,96769579,0.1846,17.826668,144.8497,0.2897,False
66,zstd,fast,csv,small,1,True,10485765,2235879,0.2132,0.604011,0.9315,0.0931,False
67,zstd,default,text,large,1,True,524288030,109554649,0.209,3.046377,22.8825,0.0458,False
68,zstd,default,csv,large,1,True,524288001,110782340,0.2113,3.210728,25.7833,0.0516,False
69,gzip,fast,image,small,1,True,10487014,8386057,0.7997,0.819941,3.0888,0.3088,False
70,7zip,fast,csv,large,1,True,524288001,106283588,0.2027,3.876286,63.9966,0.128,False
71,zstd,fast,csv,large,1,True,524288001,101930759,0.1944,2.053803,14.7897,0.0296,False
72,zstd,fast,text,medium,1,True,104857627,22100237,0.2108,0.879569,3.4705,0.0347,False
73,zstd,default,pdf,medium,2,True,128005509,102008755,0.7969,1.472631,9.2023,0.0754,False
74,gzip,fast,image,large,2,True,524305254,377441426,0.7199,17.484563,142.2439,0.2845,False
